symbol,side,entry_time,entry_price,stop_price,target_price,qty,exit_time,exit_price,exit_reason,r_multiple,pnl
COST,short,2026-05-18 11:00:00-04:00,1062.3800048828125,1067.820048828125,1048.3599853515625,18.382204446375276,2026-05-18 11:30:00-04:00,1062.4649658203125,session_end,-0.015617693230807118,-1.7455913675444648
COST,long,2026-05-26 11:25:00-04:00,999.6900024414062,997.490009765625,1011.6700134277344,45.44676224925163,2026-05-26 11:30:00-04:00,1000.0,session_end,0.1409084502900301,13.63391772076609
COST,long,2026-05-29 10:00:00-04:00,954.1199951171876,946.1499829101563,972.4137878417969,12.561948546980245,2026-05-29 11:30:00-04:00,949.342529296875,session_end,-0.5994301760413633,-60.13989930519363
COST,long,2026-06-01 09:45:00-04:00,951.2999877929688,944.2699780273438,972.135009765625,14.156094740735114,2026-06-01 11:05:00-04:00,944.2699780273438,stop,-1.0,-99.65904521788765
COST,long,2026-06-02 10:00:00-04:00,941.7100219726562,939.5299877929688,947.8600158691406,45.19236199884942,2026-06-02 10:25:00-04:00,947.8600158691406,target,2.8210538870385995,277.4808268406478
COST,short,2026-06-03 10:50:00-04:00,967.1300048828124,968.5699877929687,947.4200134277344,70.34507241180367,2026-06-03 11:30:00-04:00,959.5,session_end,5.298677386375344,536.0297952597348
COST,short,2026-06-05 10:05:00-04:00,992.27001953125,995.0900073242187,979.1100158691406,37.82144032865601,2026-06-05 11:30:00-04:00,987.5900268554688,session_end,1.6595790547215117,176.62584932232116
COST,long,2026-06-12 11:25:00-04:00,973.9299926757812,972.4049877929688,981.5599975585938,71.0963353327573,2026-06-12 11:30:00-04:00,973.4849853515624,session_end,-0.29180714713395633,-32.34935330152496
COST,long,2026-06-18 10:00:00-04:00,951.969970703125,948.2909741210938,972.4349975585938,29.382676115407044,2026-06-18 11:30:00-04:00,953.655029296875,session_end,0.4580212447002744,49.21770413448544
COST,long,2026-07-10 10:10:00-04:00,912.8300170898438,910.990009765625,921.3399963378906,59.01658140788427,2026-07-10 10:30:00-04:00,910.990009765625,stop,-1.0,-109.18110785493693
COST,short,2026-07-16 09:45:00-04:00,936.0,938.52,919.0400085449219,42.658385302503774,2026-07-16 11:30:00-04:00,933.6699829101562,session_end,0.9246099562872091,98.9681829269482
COST,short,2026-07-24 10:50:00-04:00,932.905029296875,934.99998046875,921.64501953125,51.78584314902227,2026-07-24 11:30:00-04:00,931.6599731445312,session_end,0.5943127310358381,63.95842418550839
