symbol,side,entry_time,entry_price,stop_price,target_price,qty,exit_time,exit_price,exit_reason,r_multiple,pnl
META,long,2026-05-05 11:15:00-04:00,603.3463134765625,601.8200268554688,608.375,65.51849345854866,2026-05-05 11:30:00-04:00,604.5999755859375,session_end,0.8213805271231625,81.48286777773076
META,short,2026-05-06 10:25:00-04:00,614.5050048828125,618.02,607.35498046875,28.68135667808385,2026-05-06 10:35:00-04:00,618.02,stop,-1.0,-101.10164224455815
META,short,2026-05-06 10:50:00-04:00,615.8499755859375,619.4399829101562,607.35498046875,27.800448088793623,2026-05-06 11:30:00-04:00,612.7899780273438,session_end,0.8523652689927801,84.79129879863284
META,short,2026-05-12 10:45:00-04:00,601.969970703125,603.7649951171875,598.197509765625,56.07262188458154,2026-05-12 11:30:00-04:00,601.8300170898438,session_end,0.07796752633826765,7.286839820054665
META,long,2026-05-26 11:20:00-04:00,607.0800170898438,606.12501953125,610.8800048828125,105.47104831329538,2026-05-26 11:30:00-04:00,607.0900268554688,session_end,0.010481456769103933,0.0010299907061843694
META,long,2026-05-29 10:45:00-04:00,624.5900268554688,623.510029296875,636.1549987792969,93.2637329963778,2026-05-29 11:30:00-04:00,628.489990234375,session_end,3.611085365771016,362.7925059360001
META,long,2026-06-01 10:40:00-04:00,612.125,609.010029296875,628.9249877929688,33.500324383820946,2026-06-01 11:30:00-04:00,613.4000244140625,session_end,0.4093214786204499,42.37872822454678
META,long,2026-06-02 10:20:00-04:00,603.3800048828125,600.3150219726563,617.6400146484375,34.18495937965618,2026-06-02 11:30:00-04:00,607.3051147460938,session_end,1.2806302607022284,133.83787164316078
META,short,2026-06-04 11:05:00-04:00,638.2825927734375,640.52,612.2100219726562,47.427528498017665,2026-06-04 11:30:00-04:00,638.4949951171875,session_end,-0.09493235796700795,-10.547993496229045
META,short,2026-06-09 10:10:00-04:00,594.405029296875,597.6500048828125,585.6099853515625,32.66872500486753,2026-06-09 11:30:00-04:00,588.47998046875,session_end,1.825914763057682,193.23710355637957
META,short,2026-06-15 10:15:00-04:00,591.8800048828125,593.52,586.5037536621094,65.8182362671782,2026-06-15 10:45:00-04:00,593.52,stop,-1.0,-108.59976846273605
META,long,2026-06-17 10:50:00-04:00,582.5250244140625,581.1300854492188,598.9049987792969,76.60233967828651,2026-06-17 10:55:00-04:00,581.1300854492188,stop,-1.0,-107.62161181221978
META,long,2026-06-22 11:00:00-04:00,562.780029296875,561.449970703125,571.6599731445312,79.5298589057488,2026-06-22 11:05:00-04:00,561.449970703125,stop,-1.0,-106.57467088637219
META,long,2026-06-25 11:15:00-04:00,551.4000244140625,549.090107421875,562.2949829101562,45.33220282053843,2026-06-25 11:30:00-04:00,553.1199951171875,session_end,0.7446028186044014,77.5167387312412
META,long,2026-07-02 11:10:00-04:00,588.6699829101562,585.8600048828125,611.6900024414062,37.54078926926052,2026-07-02 11:30:00-04:00,587.875,session_end,-0.2829142799055074,-30.219693795531853
META,long,2026-07-08 09:50:00-04:00,602.9849853515625,600.6200146484375,614.5149841308594,44.4769129270052,2026-07-08 10:40:00-04:00,600.6200146484375,stop,-1.0,-105.63136516707814
META,long,2026-07-08 10:45:00-04:00,602.341796875,600.23,614.5149841308594,49.30885333663456,2026-07-08 11:30:00-04:00,602.1749877929688,session_end,-0.0789891698420339,-8.718253094463895
META,short,2026-07-09 11:20:00-04:00,602.5001220703125,604.02,590.5350036621094,68.4549053729506,2026-07-09 11:25:00-04:00,604.02,stop,-1.0,-104.72764890892215
META,long,2026-07-13 10:30:00-04:00,658.1751098632812,655.2450146484375,667.9349975585938,35.15101585925645,2026-07-13 11:30:00-04:00,659.5,session_end,0.45216624019824186,46.21972404898065
META,short,2026-07-14 11:15:00-04:00,661.6500244140625,662.8899951171875,656.6650085449219,83.43585888429274,2026-07-14 11:30:00-04:00,660.6849975585938,session_end,0.778265851795275,79.68348594360046
META,short,2026-07-15 11:20:00-04:00,679.0,685.0900073242187,657.7749938964844,17.119003297652647,2026-07-15 11:30:00-04:00,678.5,session_end,0.08210170749903711,8.388311615849798
META,long,2026-07-22 09:55:00-04:00,633.155029296875,630.3000073242188,649.5400085449219,36.545686716769445,2026-07-22 10:15:00-04:00,630.3000073242188,stop,-1.0,-104.70419544935544
META,long,2026-07-22 10:30:00-04:00,630.04150390625,629.0299877929688,649.5400085449219,102.11572042350252,2026-07-22 10:40:00-04:00,629.0299877929688,stop,-1.0,-104.3128538319292
META,short,2026-07-27 10:20:00-04:00,607.8599853515625,609.509990234375,602.2149963378906,61.96864576248357,2026-07-27 10:35:00-04:00,602.2149963378906,target,3.4211953385554987,349.19263806371913
