symbol,side,entry_time,entry_price,stop_price,target_price,qty,exit_time,exit_price,exit_reason,r_multiple,pnl
MSFT,short,2026-05-04 10:35:00-04:00,418.9299926757813,420.79999877929686,413.7749938964844,53.47576128869488,2026-05-04 11:30:00-04:00,415.9299926757813,session_end,1.6042728386608465,159.8925262531977
MSFT,long,2026-05-05 10:00:00-04:00,412.0150146484375,410.48,415.7899932861328,66.18759330143936,2026-05-05 10:15:00-04:00,410.48,stop,-1.0,-102.26080119554638
MSFT,short,2026-05-14 11:20:00-04:00,410.9200134277344,411.66599609375,403.6699981689453,134.8239333599641,2026-05-14 11:30:00-04:00,411.3599853515625,session_end,-0.5897884010872181,-60.666984672057964
MSFT,short,2026-05-29 10:45:00-04:00,441.5799865722656,443.2100024414063,437.9199981689453,61.330474933694624,2026-05-29 10:50:00-04:00,443.2100024414063,stop,-1.0,-100.58295215319288
MSFT,short,2026-05-29 11:15:00-04:00,444.6600036621094,445.56000854492186,439.0,109.95920108018277,2026-05-29 11:30:00-04:00,443.6300048828125,session_end,1.1444368791402189,112.15825087424604
MSFT,long,2026-06-02 11:20:00-04:00,443.55999755859375,442.365009765625,447.9199981689453,83.75432868851516,2026-06-02 11:30:00-04:00,443.5499877929688,session_end,-0.008376458474170434,-1.675904487131641
MSFT,long,2026-06-03 11:25:00-04:00,427.739990234375,425.8799938964844,433.12001037597656,53.800450736199544,2026-06-03 11:30:00-04:00,427.7900085449219,session_end,0.02689161775640913,2.153003145123083
MSFT,long,2026-06-16 10:35:00-04:00,393.2250061035156,391.9000134277344,397.3000030517578,75.54016954745202,2026-06-16 11:30:00-04:00,393.4700012207031,session_end,0.1849029973264176,17.751570995167107
MSFT,long,2026-06-18 09:50:00-04:00,375.656005859375,373.57451293945314,383.8450012207031,48.17104402707375,2026-06-18 11:30:00-04:00,375.2000122070313,session_end,-0.21907047964439486,-22.447400743384943
MSFT,long,2026-06-22 10:35:00-04:00,373.8800964355469,372.9000134277344,377.3249969482422,102.07626525783556,2026-06-22 10:50:00-04:00,372.9000134277344,stop,-1.0,-101.06397573274256
MSFT,long,2026-06-22 11:20:00-04:00,371.4049987792969,370.8399853515625,377.3249969482422,175.27472527502005,2026-06-22 11:30:00-04:00,371.1799926757813,session_end,-0.3982314268491255,-41.190630231644136
MSFT,short,2026-06-26 11:15:00-04:00,367.9800109863281,370.5699877929688,356.7150115966797,38.077818599633154,2026-06-26 11:25:00-04:00,370.5699877929688,stop,-1.0,-99.00144520651668
MSFT,short,2026-07-02 10:40:00-04:00,388.5899963378906,389.7200122070313,381.86000061035156,86.39759425918484,2026-07-02 10:45:00-04:00,389.7200122070313,stop,-1.0,-98.49462851104703
MSFT,long,2026-07-10 10:40:00-04:00,383.1449890136719,382.1299938964844,386.9024963378906,95.21790267439589,2026-07-10 11:00:00-04:00,382.1299938964844,stop,-1.0,-97.59788531008866
MSFT,short,2026-07-15 10:25:00-04:00,395.0400085449219,397.6600146484375,383.4199981689453,36.515078076295765,2026-07-15 10:35:00-04:00,397.6600146484375,stop,-1.0,-96.03487821100678
MSFT,short,2026-07-15 10:50:00-04:00,394.3200073242188,396.280009765625,383.4199981689453,48.32105136572478,2026-07-15 11:15:00-04:00,396.280009765625,stop,-1.0,-95.19258916179099
MSFT,short,2026-07-16 10:50:00-04:00,396.7900085449219,398.1999926757813,392.67999267578125,66.49539573141777,2026-07-16 11:10:00-04:00,398.1999926757813,stop,-1.0,-94.42240671383003
MSFT,long,2026-07-22 10:00:00-04:00,392.18011474609375,390.73,398.89500427246094,64.00405825773069,2026-07-22 10:15:00-04:00,390.73,stop,-1.0,-93.45326927195487
MSFT,long,2026-07-22 10:55:00-04:00,389.5877990722656,388.23,398.89500427246094,67.66737278981223,2026-07-22 11:30:00-04:00,389.6300048828125,session_end,0.031083988352157955,2.179282588273457
