symbol,side,entry_time,entry_price,stop_price,target_price,qty,exit_time,exit_price,exit_reason,r_multiple,pnl
AMZN,short,2026-05-04 10:50:00-04:00,274.5972900390625,275.8899951171875,268.0299987792969,77.35716498077511,2026-05-04 11:30:00-04:00,273.6499938964844,session_end,0.7328014398706788,72.50657233726012
AMZN,long,2026-05-07 11:20:00-04:00,272.94000244140625,272.1714978027344,275.00498962402344,131.06630806737542,2026-05-07 11:30:00-04:00,273.3399963378906,session_end,0.5204833859892524,51.11506018101721
AMZN,long,2026-05-12 11:00:00-04:00,264.260009765625,263.68001220703127,265.6750030517578,174.54593528055736,2026-05-12 11:30:00-04:00,264.57000732421875,session_end,0.534480799100902,52.3633544466299
AMZN,short,2026-05-18 10:30:00-04:00,267.25,268.4070849609375,262.625,87.94501121784717,2026-05-18 10:40:00-04:00,268.4070849609375,stop,-1.0,-102.63929998182756
AMZN,short,2026-05-20 11:05:00-04:00,263.9100036621094,264.6150012207031,258.7200012207031,142.88483079397494,2026-05-20 11:15:00-04:00,264.6150012207031,stop,-1.0,-102.16230517777055
AMZN,short,2026-05-27 10:50:00-04:00,270.1400146484375,270.7500109863281,265.68499755859375,163.46300399582864,2026-05-27 11:00:00-04:00,270.7500109863281,stop,-1.0,-101.34646385801138
AMZN,long,2026-06-10 10:10:00-04:00,241.6750030517578,240.37129638671874,245.4149932861328,75.70596348567027,2026-06-10 10:55:00-04:00,240.37129638671874,stop,-1.0,-99.45542881432971
AMZN,long,2026-06-11 09:45:00-04:00,236.8600006103516,235.49109313964843,240.76000213623047,71.3735712473995,2026-06-11 11:00:00-04:00,235.49109313964843,stop,-1.0,-98.41755060380368
AMZN,long,2026-06-11 11:05:00-04:00,236.0800018310547,235.17999694824218,240.76000213623047,107.46568294501172,2026-06-11 11:30:00-04:00,236.75,session_end,0.7444383711025788,70.92715396816523
AMZN,long,2026-06-22 11:00:00-04:00,234.33999633789065,233.81999633789064,240.87499999999997,187.36329024032958,2026-06-22 11:05:00-04:00,233.81999633789064,stop,-1.0,-99.3025438273766
AMZN,short,2026-06-29 11:00:00-04:00,244.6699981689453,246.31499816894532,240.27750396728516,58.62363859373795,2026-06-29 11:30:00-04:00,242.96499633789065,session_end,1.0364752772368684,99.3671747594724
AMZN,short,2026-07-01 11:00:00-04:00,241.79010009765625,242.18999816894532,239.35499572753906,243.63597683837227,2026-07-01 11:05:00-04:00,242.18999816894532,stop,-1.0,-99.86591700267799
AMZN,short,2026-07-02 11:05:00-04:00,244.4199981689453,245.3800006103516,239.8999938964844,100.44859669628315,2026-07-02 11:15:00-04:00,245.3800006103516,stop,-1.0,-97.43538403123031
AMZN,long,2026-07-08 10:05:00-04:00,242.9799041748047,241.8799938964844,245.81499481201172,86.78575526153797,2026-07-08 10:35:00-04:00,241.8799938964844,stop,-1.0,-96.32440177657055
AMZN,long,2026-07-08 10:45:00-04:00,241.9600067138672,241.57500122070311,245.81499481201172,245.4336415556557,2026-07-08 10:55:00-04:00,241.57500122070311,stop,-1.0,-96.94763662174603
AMZN,long,2026-07-10 10:45:00-04:00,245.60499572753903,245.0300030517578,247.72000122070312,162.65220024394733,2026-07-10 11:00:00-04:00,245.0300030517578,stop,-1.0,-95.15034584241147
AMZN,short,2026-07-20 09:50:00-04:00,249.6699981689453,250.79999877929689,246.91500091552737,81.92236316823424,2026-07-20 11:00:00-04:00,250.79999877929689,stop,-1.0,-93.39154401323025
