symbol,arm_bars,signals,trades,conv_pct,win_rate,total_R,avg_R,pnl,max_dd_pct
MES=F,1,18,4,22.22222222222222,25.0,-0.5,-0.125,-69.59615146000513,-3.085100808425195
MES=F,2,18,4,22.22222222222222,25.0,-0.5,-0.125,-69.59615146000513,-3.085100808425195
MES=F,3,18,6,33.33333333333333,33.33333333333333,2.3372093023255816,0.38953488372093026,199.94539204078464,-4.090528887132659
MES=F,4,18,7,38.88888888888889,42.857142857142854,4.622923588039868,0.6604176554342668,427.3050890994857,-4.090528887132659
MES=F,5,18,7,38.88888888888889,42.857142857142854,4.622923588039868,0.6604176554342668,427.3050890994857,-4.090528887132659
MES=F,6,18,7,38.88888888888889,42.857142857142854,4.622923588039868,0.6604176554342668,427.3050890994857,-4.090528887132659
MES=F,7,18,7,38.88888888888889,42.857142857142854,4.622923588039868,0.6604176554342668,427.3050890994857,-4.090528887132659
MES=F,8,18,7,38.88888888888889,42.857142857142854,4.622923588039868,0.6604176554342668,427.3050890994857,-4.090528887132659
MES=F,9,18,7,38.88888888888889,42.857142857142854,4.622923588039868,0.6604176554342668,427.3050890994857,-4.090528887132659
MES=F,10,18,7,38.88888888888889,42.857142857142854,4.622923588039868,0.6604176554342668,427.3050890994857,-4.090528887132659
MNQ=F,1,24,6,25.0,66.66666666666666,6.054073350491769,1.0090122250819615,605.9032947898902,-1.0071060171919837
MNQ=F,2,24,7,29.166666666666668,71.42857142857143,5.385353283110716,0.7693361833015308,532.342250497559,-1.7247749985586451
MNQ=F,3,24,8,33.33333333333333,75.0,5.459980148782357,0.6824975185977946,538.9026945262273,-1.72477499855863
MNQ=F,4,24,9,37.5,66.66666666666666,4.459980148782357,0.49555334986470634,431.6795287260579,-2.724630585976797
MNQ=F,5,24,9,37.5,66.66666666666666,4.459980148782357,0.49555334986470634,431.6795287260579,-2.724630585976797
MNQ=F,6,24,9,37.5,66.66666666666666,4.459980148782357,0.49555334986470634,431.6795287260579,-2.724630585976797
MNQ=F,7,24,9,37.5,66.66666666666666,4.459980148782357,0.49555334986470634,431.6795287260579,-2.724630585976797
MNQ=F,8,24,9,37.5,66.66666666666666,4.459980148782357,0.49555334986470634,431.6795287260579,-2.724630585976797
MNQ=F,9,24,10,41.66666666666667,60.0,3.459980148782357,0.34599801487823567,325.660722568321,-3.7132555246003944
MNQ=F,10,24,11,45.83333333333333,63.63636363636363,3.5702315994593397,0.32456650904175816,336.054288990032,-3.6163355597551425
