n,win_rate,avg_r,total_r,total_pnl,profit_factor,max_dd_pct,return_pct,symbol,name
13,30.76923076923077,-0.06043496709719229,-0.7856545722634998,-104.52446661696234,0.8383139166909856,-5.397446600276033,-1.0452446661696424,AAPL,Apple
19,26.31578947368421,-0.43283570762204515,-8.223878444818858,-809.9511177459281,0.2664056061127886,-9.56725599287282,-8.099511177459263,MSFT,Microsoft
10,30.0,-0.07380732883480641,-0.7380732883480641,-86.18780489688979,0.7386672887113415,-1.5085187616570583,-0.8618780489689004,NVDA,NVIDIA
17,29.411764705882355,-0.49596004274704236,-8.43132072669972,-836.1595058584413,0.2928517817423618,-9.946403165097742,-8.361595058584403,AMZN,Amazon
19,21.052631578947366,-0.34795965190329864,-6.611233386162674,-663.0796236859002,0.45185738978059004,-6.630796236859042,-6.630796236859037,GOOGL,Alphabet (Class A)
24,54.166666666666664,0.24627678317969146,5.910642796312595,574.0494470012071,1.6430055577488114,-5.2741656078796355,5.740494470012081,META,Meta Platforms
7,28.57142857142857,-0.18670513235243558,-1.306935926467049,-138.87946167841355,0.7047618284639048,-4.703980550883261,-1.3887946167841059,AVGO,Broadcom
14,35.714285714285715,-0.3410217716547755,-4.7743048031668565,-478.2228251661727,0.4298602202073879,-6.142453114441564,-4.7822282516617465,TSLA,Tesla
12,58.333333333333336,0.7491923078368901,8.99030769404268,912.8397033433242,4.011926791181325,-1.5960919590209548,9.128397033433288,COST,Costco
18,50.0,0.4165831595333136,7.498496871599645,679.1250040333912,1.9681887071848831,-2.8653434872486656,6.791250040333918,NFLX,Netflix
